data10, data20, data30, data40, data50, data60, data70, data80, data90, data100
10.859, 47.809, 35.175, 11.306, 105.199, 240.983, 188.674, 12.796, 248.902, 72.061
5.238, 16.527, 35.147, 10.683, 105.160, 240.929, 188.577, 11.542, 248.890, 71.435
6.244, 16.475, 35.139, 6.073, 105.086, 240.923, 188.546, 21.083, 248.875, 71.412
6.029, 12.124, 9.775, 9.647, 105.062, 240.921, 188.476, 21.091, 248.871, 71.076
10.891, 12.117, 9.785, 10.353, 105.036, 240.910, 188.386, 21.139, 248.585, 71.062
14.083, 20.209, 9.220, 6.176, 104.973, 240.900, 188.350, 21.235, 248.545, 66.377
18.015, 20.204, 8.490, 8.704, 104.950, 240.864, 188.315, 7.716, 248.509, 66.280
18.045, 20.201, 6.504, 16.163, 104.876, 240.869, 188.275, 16.296, 248.528, 66.255
18.016, 6.366, 12.433, 16.291, 5.356, 239.730, 188.270, 16.427, 248.520, 66.248
10.797, 5.329, 12.364, 16.188, 43.080, 239.659, 188.279, 16.412, 248.494, 66.249
10.784, 5.464, 20.673, 5.351, 43.178, 239.611, 188.308, 5.063, 248.469, 66.053
5.171, 11.056, 20.978, 5.830, 43.171, 239.576, 188.273, 6.767, 248.381, 66.015
10.524, 11.137, 20.986, 9.813, 43.159, 239.501, 188.288, 6.008, 248.378, 200.582
10.485, 5.986, 20.999, 9.809, 43.152, 239.467, 188.268, 62.839, 248.389, 200.617
10.767, 5.203, 5.414, 11.148, 43.150, 239.476, 216.642, 62.849, 248.181, 200.619
10.795, 20.718, 63.799, 10.971, 43.016, 239.442, 216.950, 62.839, 248.171, 200.623
14.471, 20.800, 63.780, 15.973, 43.006, 103.252, 217.008, 60.129, 248.156, 200.620
14.527, 20.804, 63.801, 15.994, 43.003, 103.928, 217.131, 60.006, 248.092, 200.612
14.535, 20.814, 63.755, 16.198, 9.477, 104.055, 217.263, 59.935, 248.024, 200.617
16.565, 7.312, 63.694, 6.240, 9.439, 104.062, 217.388, 53.401, 248.002, 200.797
16.603, 26.058, 63.697, 23.513, 38.213, 104.074, 217.477, 53.400, 247.985, 200.794
7.042, 26.156, 63.683, 23.614, 38.174, 104.103, 217.510, 213.889, 247.952, 200.824
9.379, 26.134, 63.672, 23.721, 37.978, 104.122, 217.535, 213.861, 245.836, 200.847
17.751, 26.139, 63.668, 23.726, 37.842, 104.120, 217.504, 213.834, 245.802, 200.906
17.732, 26.177, 63.637, 16.368, 37.825, 104.121, 217.516, 213.860, 245.788, 200.925
35.906, 5.186, 63.610, 16.399, 37.808, 104.127, 217.482, 213.857, 245.773, 200.886
